"year","total_pix","state1","state2","state3","state4"
1984,654240,0.00210014673514307,0.791452677916361,0.185586329175838,0.0208608461726584
1985,654240,5.19686965028124e-05,0.656036011249694,0.338913854243091,0.00499816581071167
1986,654240,2.90413303986305e-05,0.152739056003913,0.846544081682563,0.000687820983125459
1987,654240,7.64245536806065e-06,0.69656395206652,0.303238872584984,0.000189532893127904
1988,654240,0.000125336268036195,0.747696563952067,0.252069576913671,0.000108522866226461
1989,654240,0.000692406456346295,0.821574651504035,0.17772071411103,1.2227928588897e-05
1990,654240,0.00713346784054781,0.739740767913915,0.249709586696014,0.00341617754952311
1991,654240,0.00691183663487405,0.86191611640988,0.131045182196136,0.000126864759109807
1992,654240,0.000420335045243336,0.457041758376131,0.541276901442896,0.00126100513573001
1993,654240,0.0013481291269259,0.374104304230863,0.622638481291269,0.00190908535094155
1994,654240,0.00114483981413549,0.60522591098068,0.392163426265591,0.00146582293959403
1995,654240,0.00312423575446319,0.54252720714111,0.442198581560284,0.0121499755441428
1996,654240,0.005166299828809,0.7069103081438,0.283411286378088,0.00451210564930301
1997,654240,0.000991990706774272,0.495827219369039,0.487319638053314,0.0158611518708731
1998,654240,0.00218879921741257,0.762551968696503,0.228922108094889,0.00633712399119589
1999,654240,0.0026213621912448,0.688360540474444,0.257746392761066,0.0512717045732453
2000,654240,0.00439441183663487,0.651919784788457,0.320344216189777,0.0233415871851308
2001,654240,0.0121010638297872,0.601641599413059,0.327879677182685,0.0583776595744681
2002,654240,0.00870322817314747,0.52984531670335,0.323534177060406,0.137917278063096
2003,654240,0.0230527023722181,0.753257214477867,0.173118427488383,0.0505716556615309
2004,654240,0.0147117265835168,0.638568415260455,0.280533137686476,0.0661867204695525
2005,654240,0.00553619466862314,0.436778552213255,0.492533321105405,0.065151932012717
2006,654240,0.00412692589875275,0.552431829298117,0.424730985571044,0.0187102592320861
2007,654240,0.00377231596967474,0.55467565419418,0.428643922719491,0.0129081071166544
2008,654240,0.000715333822450477,0.546071777940817,0.449093604793348,0.00411928344338469
2009,654240,0.024842565419418,0.762759843482514,0.205672230374175,0.00672536072389337
2010,654240,0.0264933357789191,0.751780692100758,0.215790841281487,0.0059351308388359
2011,654240,0.00257856444118366,0.562581010026901,0.40443873807777,0.0304016874541453
2012,654240,0.0147805086818293,0.707592015162631,0.0950996576179995,0.18252781853754
2013,654240,0.0685314257764735,0.771915505013451,0.0740125947664466,0.0855404744436292
2014,654240,0.00235999021765713,0.600472303741746,0.368464172169235,0.0287035338713622
2015,654240,0.00282770848618244,0.432365798483737,0.513999449743214,0.0508070432868672
2016,654240,0.00102561751039374,0.430256480802152,0.483084189288335,0.0856337123991196
2017,654240,0.00110357055514796,0.457477378332111,0.495772193690389,0.0456468574223527
2018,654240,0.000759660063585229,0.2585901198337,0.71431126192223,0.0263389581804842
2019,654240,0.00114942528735632,0.191533687943262,0.71968085106383,0.0876360357055515
2020,654240,0.000534971875764245,0.123338530202984,0.800145206651993,0.075981291269259
