"timestep","prob_1_2","prob_1_3","prob_2_1","prob_2_3","prob_3_1","prob_3_2"
"1985-1986",0.283130171606041,0,0.00428915180394766,0.0375556187899652,0.000665975312897541,0.203747868105095
"1986-1987",0.262729024140914,0,0.00252597277370392,0.0402135211686231,7.13456003174879e-05,0.0973408157031666
"1987-1988",0.204341662440644,0,0.00353019769896402,0.0178979696896083,0.00012729846774382,0.152922188498563
"1988-1989",0.164488764604841,0,0.00513188944070842,0.0148566768215324,0.000323373077663358,0.14184173966506
"1989-1990",0.135781602398732,0,0.00271887795499201,0.0201280081239373,3.46636585213672e-05,0.0824405790613675
"1990-1991",0.270291778577076,0,0.00221773826860551,0.0281970939412486,5.38241837929511e-05,0.0878151344797232
"1991-1992",0.233531516035349,0,0.00420322807746143,0.0598223861680691,8.91695592020169e-05,0.0731378110844332
"1992-1993",0.135670731707317,0,0.00663924180145554,0.0216569689852133,0.000587285621040749,0.188953827525643
"1993-1994",0.127221823047001,0.00110998240876093,0.00649354233866887,0.0161721058774389,0.000521558027995316,0.189369101374177
"1994-1995",0.202396720011473,0,0.0021182525787331,0.0366730651591537,3.80102881179839e-05,0.060176874540709
"1995-1996",0.184931899641577,0,0.00977864460565767,0.0173176047175072,0.000834677157501945,0.12459395771847
"1996-1997",0.137037318537661,0,0.0060887898657257,0.0166709805541087,9.34551669205133e-05,0.0700712463852021
"1997-1998",0.100976224327482,0,0.00484783983796503,0.014880949184724,0.000125006083311306,0.111959646891213
"1998-1999",0.0897043866704779,0.00165522192604016,0.00502629426039001,0.0222929668403858,8.20186592449782e-05,0.0548499783700792
"1999-2000",0.118548633498157,3.11773178776976e-06,0.00339714448304858,0.00952097846735027,8.38270077282786e-05,0.046970749137201
"2000-2001",0.21705954012971,0.00582392101605316,0.00555318097498006,0.00951024903667991,4.69114775631498e-05,0.065518101368044
"2001-2002",0.120852576208543,0,0.00588695649384875,0.00785533373461387,1.12621600725087e-05,0.0855684232535205
"2002-2003",0.102308514450812,6.34294395057578e-06,0.00826909282682534,0.0162672902489525,7.67670460195256e-05,0.0514158883054937
"2003-2004",0.213107765052419,0,0.00290148158938808,0.0137789312676201,8.87448025378005e-05,0.104185395413247
"2004-2005",0.262225246944691,0.0003402812777883,0.00235711309325082,0.0288566215966076,8.14558031777162e-05,0.169678703850197
"2005-2006",0.131615261993322,0,0.00353867765170565,0.0327354050301498,9.01642599607356e-05,0.143289793298434
"2006-2007",0.365807007421576,0.000146218474111426,0.00397188074661032,0.0394497337439961,9.94977458523841e-06,0.0801396738882829
"2007-2008",0.0924360849175533,0.000705965407695023,0.00556190411890066,0.0213916019990977,0.000114889113248309,0.105057887700347
"2008-2009",0.0765890724882403,0,0.0062367378820522,0.0120322339646677,1.75472376379711e-05,0.0578926052146596
"2009-2010",0.0777856000938678,0,0.00353759046633854,0.0153236573384938,7.62268836020252e-06,0.0329724149200785
"2010-2011",0.0846936336539002,0,0.00491058516064848,0.00753941100050344,1.1507019051481e-05,0.0737599921199934
"2011-2013",0.0948285165792925,0,0.00255075389760613,0.010082421208446,0,0.0505054192373921
"2013-2014",0.0625638500011647,0,0.0023139259460011,0.0182170034878944,0,0.0205612694340556
"2014-2015",0.0133904871816009,0,0.00465184903736331,0.00881123511907191,0,0.0105991873728848
"2015-2016",4.67881403761182e-05,0,0.000854284319984623,0.00107596499820434,0,0.00265307615401497
"2016-2017",0.0156439437264097,0,8.42269092753975e-05,0.000486534264167296,0,0.00142876365026982
"2017-2018",0.0893384036589819,0,0.000285600360021541,0.000658476668211513,0,0.0100690691873034
"2018-2019",0.0757135732008359,0,0.00142052532605771,0.00284258386887317,0,0.0275490270797149
"2019-2020",0.168174325968369,0,0.00336827232166837,0.011984638481656,0,0.0349824014551693
NA,0.144557719089894,0.000287972093711393,0.00403710132095749,0.0186104771043169,0.000126126742771007,0.0827652532777414
