"timestep","prob_1_2","prob_1_3","prob_2_1","prob_2_3","prob_3_1","prob_3_2"
"1985-1986",0.21134386844568,0,0.00762047062411271,0.0184154294861039,0.00092710171618315,0.240867546507652
"1986-1987",0.261198393824802,0,0.00276122674385857,0.0371106425393,6.59152647243635e-05,0.137082580760633
"1987-1988",0.222225361264532,0,0.00444449389639322,0.0167102942748105,4.7030675544348e-05,0.265137998690837
"1988-1989",0.141060351318276,0,0.00885051620502104,0.0132005165187342,0.00172226347929843,0.25179043534682
"1989-1990",0.111505210336113,0,0.00327115824815671,0.0142160693684641,1.56405935966207e-05,0.148194022766689
"1990-1991",0.359002183962365,0,0.00263988099942175,0.037590365523044,2.3894452688371e-05,0.100520286390332
"1991-1992",0.235975711960724,0,0.00901106841282536,0.0632100299361132,0.000114636370005051,0.139694704730514
"1992-1993",0.0973976556404869,0,0.00961048775048673,0.0363941358600533,0.000533496514699087,0.204465684002097
"1993-1994",0.0845879275880187,0,0.0133551227172906,0.0196409874807688,0.000828246115769319,0.239991245326125
"1994-1995",0.185524197859151,0,0.00382659445363907,0.0363078295897886,2.42970030948308e-05,0.102953777988737
"1995-1996",0.0984397120294143,0,0.0119940962883876,0.0236570801742507,0.000178681002311661,0.171290632561622
"1996-1997",0.0792581005838971,0,0.0109122140008642,0.0161190375723392,6.64522741780558e-05,0.14036693737578
"1997-1998",0.0527528333436552,0,0.00806540573136092,0.0142317662020845,3.76604005120122e-05,0.0995859471696516
"1998-1999",0.0609993326261672,6.70784601968923e-05,0.00450400845895738,0.016112373622187,3.60481448723445e-05,0.0547494074586187
"1999-2000",0.116319501025483,0,0.0035936044315034,0.010953838956241,1.64530782886824e-06,0.0669126127652853
"2000-2001",0.153275548513678,2.38977748781811e-05,0.00460751767182008,0.0119847106114546,8.54442958915328e-05,0.0783363211318604
"2001-2002",0.0617003517095773,0,0.00871090407525875,0.00926027648532759,5.82832583005768e-06,0.0620271250284131
"2002-2003",0.0408494579129649,5.88202078000301e-06,0.0170273584687122,0.0105496243027184,0.00109740438911435,0.0660765759305712
"2003-2004",0.101260491902503,0,0.00751989456418191,0.0056729770576817,0.000685789291661384,0.153519072145623
"2004-2005",0.197909688805913,8.50334512148918e-06,0.00315287315075575,0.0089872044190194,5.31853725850966e-05,0.323664136767863
"2005-2006",0.136535699424138,0,0.00506170181492283,0.0293461864883456,1.68886769865144e-05,0.131594622385422
"2006-2007",0.332460732984293,1.06174896007588e-05,0.00639336632980977,0.0336639345028112,2.92806971508755e-05,0.186494391057225
"2007-2008",0.0837895508396674,0,0.0127167651941493,0.034271190034054,4.32564929798317e-05,0.138631395459613
"2008-2009",0.0703597287378291,0,0.00956071125844861,0.0236567241593553,2.38581905856498e-05,0.0620060608980315
"2009-2010",0.0619499761796772,0,0.00587650689234008,0.0173808867133378,4.19197747734341e-06,0.0294654096882468
"2010-2011",0.0402116039294713,0,0.00802216147144107,0.00784153163760975,2.34296565563794e-06,0.0535387177027066
"2011-2013",0.0894141283796752,6.02328458896698e-05,0.00378495605853387,0.00833517330756289,3.94793307937596e-07,0.0464146648342993
"2013-2014",0.0572206969063913,0,0.00432598768252764,0.0147004980443211,0,0.0463394947863969
"2014-2015",0.00295076483193264,3.15589821597074e-06,0.00870852744186148,0.0153188202059247,0,0.0180543536293165
"2015-2016",4.77444045430205e-05,0,0.0004101792989338,0.000698966200487371,0,0.00437406934694746
"2016-2017",0.00562824348137082,0,5.81976698627872e-05,0.000982270316212017,0,0.00278496628942716
"2017-2018",0.029576849173138,0,0.000163518420084139,0.000837385658046055,0,0.0172407480395514
"2018-2019",0.0340358981762187,0,0.00111562404314971,0.00263578031724323,0,0.0319280504883328
"2019-2020",0.137507066693887,0,0.0018053161087085,0.0160905113102948,0,0.0357710501524338
NA,0.116302193082225,5.27552454949897e-06,0.00627889460522887,0.0184142661434144,0.00019620219954508,0.113290148400108
