"TARGET_FID","soil_mu","SSURGO_dat","MLRA","LRU","esite","esite_alt","esite_alt2","state_code","dom1","dom2","dom3","dom4","grass_dur","ration","ration_dat","remarks"
"1987","47","NM690","42X","42.2","Drainage","Draw","Sandy","657","<Null>","<Null>","<Null>","<Null>","<Null>","photo interpretation","<Null>","<Null>"
"1987","47","NM690","42X","42.2","Sandy","Draw","Deep sand","642","<Null>","<Null>","<Null>","<Null>","<Null>","photo interpretation","<Null>","<Null>"
"2583","914","NM690","42X","42.2","Limestone hills","Gravelly","","536","<Null>","<Null>","<Null>","<Null>","<Null>","photo interpretation","<Null>","<Null>"
"1980","924","NM690","42X","42.2","Limestone hills","Hills","","653","<Null>","<Null>","<Null>","<Null>","<Null>","photo interpretation","<Null>","<Null>"
"1980","924","NM690","42X","42.2","Drainage","Draw","Limestone hills","567","<Null>","<Null>","<Null>","<Null>","<Null>","photo interpretation","<Null>","<Null>"
"1980","924","NM690","42X","42.2","Limestone hills","Gravelly","Loamy","536","<Null>","<Null>","<Null>","<Null>","<Null>","photo interpretation","<Null>","<Null>"
"1955","916","NM690","42X","42.2","Loamy","Gravelly","Limestone hills","426","<Null>","<Null>","<Null>","<Null>","<Null>","photo interpretation","<Null>","<Null>"
"1982","924","NM690","42X","42.2","Drainage","Limestone hills","","567","<Null>","<Null>","<Null>","<Null>","<Null>","photo interpretation","<Null>","<Null>"
"1982","924","NM690","42X","42.2","Limestone hills","Hills","","536","<Null>","<Null>","<Null>","<Null>","<Null>","photo interpretation","<Null>","<Null>"
"1982","924","NM690","42X","42.2","Drainage","Limestone hills","","537","<Null>","<Null>","<Null>","<Null>","<Null>","photo interpretation","<Null>","<Null>"
"1982","924","NM690","42X","42.2","Limestone hills","Hills","","560","<Null>","<Null>","<Null>","<Null>","<Null>","photo interpretation","<Null>","<Null>"
"1982","924","NM690","42X","42.2","Limestone hills","Hills","","562","<Null>","<Null>","<Null>","<Null>","<Null>","photo interpretation","<Null>","<Null>"
"1982","924","NM690","42X","42.2","Limestone hills","Hills","","526","<Null>","<Null>","<Null>","<Null>","<Null>","photo interpretation","<Null>","<Null>"
